country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Papua New Guinea,11.53,12,12.47,12.96,13.44,13.93,14.43,14.94,15.44,15.96,16.48,17.01,17.54,18.08,18.63,19.18,19.75,20.33
Poland,9.18,9.6,10.03,10.47,10.9,11.35,11.8,12.26,12.71,13.17,13.63,14.1,14.58,15.07,15.57,16.08,16.61,17.15
Democratic People's Republic of Korea,16.29,16.81,17.33,17.85,18.38,18.91,19.46,20.01,20.57,21.14,21.73,22.33,22.95,23.57,24.22,24.88,25.55,26.23
Portugal,21.74,22.29,22.85,23.42,23.99,24.57,25.16,25.77,26.39,27.02,27.68,28.35,29.02,29.69,30.38,31.06,31.76,32.46
Paraguay,14.61,15,15.41,15.83,16.27,16.72,17.19,17.68,18.18,18.7,19.24,19.78,20.35,20.92,21.51,22.11,22.73,23.36
State of Palestine,11.68,11.99,12.31,12.64,12.98,13.33,13.69,14.05,14.43,14.81,15.19,15.59,15.99,16.39,16.8,17.22,17.65,18.08
Qatar,0.57,0.62,0.67,0.72,0.78,0.84,0.9,0.96,1.04,1.11,1.19,1.27,1.36,1.46,1.56,1.67,1.79,1.91
Romania,19.57,20.13,20.7,21.28,21.87,22.47,23.08,23.71,24.35,25.02,25.69,26.38,27.09,27.8,28.53,29.27,30.02,30.78
Russian Federation,1.76,1.85,1.94,2.04,2.13,2.23,2.33,2.44,2.54,2.66,2.77,2.89,3.02,3.16,3.3,3.45,3.61,3.78
Rwanda,1.76,1.85,1.95,2.04,2.14,2.25,2.36,2.47,2.59,2.71,2.84,2.97,3.12,3.27,3.43,3.6,3.78,3.97
Saudi Arabia,3.33,3.44,3.56,3.68,3.8,3.92,4.06,4.19,4.33,4.48,4.62,4.78,4.94,5.11,5.28,5.46,5.64,5.84
Sudan,9.04,9.42,9.82,10.24,10.67,11.12,11.58,12.07,12.57,13.09,13.63,14.18,14.76,15.35,15.97,16.6,17.25,17.92
Senegal,1.56,1.65,1.74,1.84,1.94,2.05,2.16,2.27,2.39,2.52,2.65,2.79,2.93,3.08,3.25,3.42,3.61,3.81
Singapore,10.06,10.56,11.06,11.56,12.06,12.56,13.05,13.55,14.05,14.55,15.06,15.58,16.1,16.64,17.19,17.74,18.31,18.9
Solomon Islands,1.62,1.71,1.8,1.9,2,2.11,2.23,2.35,2.47,2.6,2.74,2.88,3.04,3.2,3.37,3.55,3.74,3.94
Sierra Leone,13.24,13.66,14.08,14.51,14.95,15.4,15.85,16.31,16.77,17.24,17.7,18.17,18.64,19.12,19.59,20.07,20.56,21.06
El Salvador,2.75,2.94,3.13,3.34,3.56,3.79,4.02,4.27,4.52,4.78,5.05,5.33,5.61,5.91,6.21,6.53,6.86,7.2
San Marino,11.29,11.68,12.08,12.48,12.9,13.32,13.75,14.18,14.62,15.06,15.51,15.96,16.42,16.9,17.38,17.88,18.39,18.92
Somalia,14.01,14.37,14.73,15.1,15.48,15.86,16.25,16.65,17.05,17.46,17.87,18.29,18.72,19.15,19.59,20.03,20.49,20.95
Serbia,12.65,13,13.36,13.73,14.1,14.47,14.85,15.23,15.62,16.01,16.41,16.81,17.22,17.63,18.05,18.49,18.93,19.38
South Sudan,14.76,15.2,15.64,16.09,16.55,17,17.46,17.93,18.41,18.89,19.38,19.88,20.38,20.9,21.42,21.96,22.51,23.06
Sao Tome and Principe,2.45,2.57,2.7,2.83,2.96,3.1,3.24,3.39,3.55,3.71,3.88,4.07,4.26,4.46,4.67,4.9,5.14,5.4
Suriname,3.82,3.97,4.13,4.3,4.48,4.66,4.85,5.05,5.26,5.47,5.69,5.92,6.17,6.42,6.69,6.97,7.27,7.58
Slovakia,11.22,11.65,12.1,12.57,13.05,13.55,14.06,14.59,15.14,15.71,16.29,16.89,17.51,18.14,18.8,19.47,20.16,20.86
Slovenia,1.28,1.35,1.42,1.5,1.58,1.67,1.75,1.85,1.94,2.04,2.15,2.26,2.38,2.5,2.63,2.78,2.93,3.09
Sweden,1.5,1.59,1.69,1.79,1.89,2.01,2.12,2.25,2.37,2.51,2.64,2.79,2.94,3.11,3.28,3.46,3.65,3.86
Eswatini,1.84,1.96,2.11,2.27,2.45,2.66,2.89,3.14,3.41,3.71,4.04,4.39,4.76,5.15,5.57,6.02,6.49,6.98
Seychelles,5.96,6.15,6.35,6.58,6.82,7.08,7.36,7.65,7.97,8.3,8.65,9.02,9.4,9.8,10.21,10.65,11.1,11.57
Syrian Arab Republic,8.32,8.64,8.98,9.33,9.69,10.07,10.46,10.87,11.3,11.74,12.2,12.67,13.16,13.67,14.19,14.73,15.29,15.87
Chad,0.71,0.77,0.83,0.9,0.97,1.05,1.13,1.22,1.32,1.42,1.54,1.66,1.79,1.94,2.1,2.26,2.45,2.64
Togo,28.24,28.97,29.7,30.45,31.2,31.96,32.72,33.49,34.27,35.05,35.83,36.62,37.41,38.2,39,39.8,40.6,41.41
Thailand,5.13,5.41,5.69,5.98,6.26,6.55,6.84,7.14,7.45,7.77,8.09,8.43,8.78,9.15,9.53,9.94,10.36,10.8
Tajikistan,10.38,10.81,11.24,11.68,12.13,12.59,13.06,13.55,14.04,14.55,15.07,15.6,16.15,16.7,17.28,17.87,18.48,19.1
Turkmenistan,13.87,14.37,14.89,15.42,15.97,16.53,17.11,17.7,18.31,18.93,19.57,20.22,20.88,21.55,22.24,22.93,23.65,24.37
Timor-Leste,32.07,32.88,33.71,34.55,35.4,36.25,37.12,38.01,38.91,39.82,40.74,41.66,42.58,43.49,44.39,45.29,46.17,47.04
